Year,US Life Expectancy,Ukraine Life Expectancy,Difference
2010,78.5414634146342,70.2653658536586,8.2760975609756
2011,78.6414634146341,70.8092682926829,7.832195121951202
2012,78.7414634146342,70.9441463414634,7.797317073170802
2013,78.7414634146342,71.159512195122,7.581951219512192
2014,78.8414634146341,71.1865853658537,7.654878048780404
2015,78.690243902439,71.189512195122,7.500731707316987
2016,78.5390243902439,71.4763414634146,7.0626829268292965
2017,78.5390243902439,71.7809756097561,6.758048780487798
2018,78.6390243902439,71.5826829268293,7.056341463414597
2019,78.7878048780488,71.8273170731707,6.960487804878099
